"city","make","Model","ttl","rnk"
Odessa,CHEVROLET,VOLT,1,5
Okanogan,CHEVROLET,BLAZER,1,1
Okanogan,CHEVROLET,VOLT,1,2
Okanogan,CHRYSLER,PACIFICA,1,3
Okanogan,FORD,F-150,1,4
Okanogan,HYUNDAI,IONIQ 5,1,5
Olalla,TESLA,MODEL 3,22,1
Olalla,TESLA,MODEL Y,20,2
Olalla,HYUNDAI,IONIQ 5,10,3
Olalla,NISSAN,LEAF,8,4
Olalla,CHEVROLET,VOLT,7,5
Olga,NISSAN,LEAF,11,1
Olga,CHEVROLET,BOLT EV,4,2
Olga,TESLA,MODEL Y,4,3
Olga,TOYOTA,RAV4 PRIME,3,4
Olga,VOLVO,XC60,3,5
Olympia,TESLA,MODEL 3,201,1
Olympia,NISSAN,LEAF,192,2
Olympia,TESLA,MODEL Y,182,3
Olympia,VOLKSWAGEN,ID.4,132,4
Olympia,CHEVROLET,BOLT EV,131,5
Omak,CHRYSLER,PACIFICA,3,1
Omak,JEEP,WRANGLER,3,2
Omak,FORD,ESCAPE,2,3
Omak,BMW,X5,1,4
Omak,CHEVROLET,BLAZER,1,5
Onalaska,NISSAN,LEAF,6,1
Onalaska,TESLA,MODEL 3,6,2
Onalaska,TOYOTA,PRIUS PRIME,4,3
Onalaska,CHEVROLET,VOLT,3,4
Onalaska,JEEP,WRANGLER,3,5
Orcas,CHEVROLET,VOLT,1,1
Orcas,FORD,TRANSIT,1,2
Orcas,HYUNDAI,IONIQ,1,3
Orcas,PORSCHE,MACAN,1,4
Orcas Is,NISSAN,LEAF,2,1
Orcas Is,CHEVROLET,BOLT EV,1,2
Orcas Is,CHEVROLET,VOLT,1,3
Orcas Is,FORD,F-150,1,4
Orcas Is,HYUNDAI,IONIQ 5,1,5
Orient,TESLA,CYBERTRUCK,1,1
Orondo,TESLA,MODEL 3,13,1
Orondo,TESLA,MODEL Y,11,2
Orondo,TESLA,MODEL X,5,3
Orondo,FORD,MUSTANG MACH-E,3,4
Orondo,TESLA,MODEL S,3,5
Oroville,TESLA,MODEL 3,5,1
Oroville,FORD,MUSTANG MACH-E,2,2
Oroville,TESLA,MODEL Y,2,3
Oroville,CADILLAC,LYRIQ,1,4
Oroville,CHEVROLET,BLAZER,1,5
Orting,TESLA,MODEL Y,37,1
Orting,TESLA,MODEL 3,33,2
Orting,FORD,MUSTANG MACH-E,15,3
Orting,CHEVROLET,BOLT EV,10,4
Orting,CHEVROLET,VOLT,7,5
Othello,TESLA,MODEL 3,22,1
Othello,TESLA,MODEL Y,8,2
Othello,TESLA,MODEL S,4,3
Othello,CADILLAC,LYRIQ,3,4
Othello,FORD,FUSION,3,5
Otis Orchards,TESLA,MODEL Y,9,1
Otis Orchards,CHEVROLET,VOLT,5,2
Otis Orchards,NISSAN,LEAF,5,3
Otis Orchards,TESLA,MODEL 3,5,4
Otis Orchards,TESLA,MODEL S,5,5
Outlook,TESLA,MODEL Y,5,1
Outlook,BMW,I8,1,2
Outlook,CHEVROLET,BOLT EV,1,3
Outlook,CHRYSLER,PACIFICA,1,4
Outlook,JEEP,WRANGLER,1,5
Oysterville,FORD,MUSTANG MACH-E,2,1
Oysterville,TOYOTA,PRIUS PRIME,2,2
Oysterville,CHEVROLET,BOLT EV,1,3
Oysterville,TESLA,MODEL Y,1,4
Pacific,TESLA,MODEL 3,19,1
Pacific,TESLA,MODEL Y,18,2
Pacific,CHEVROLET,VOLT,5,3
Pacific,CHRYSLER,PACIFICA,5,4
Pacific,NISSAN,LEAF,5,5
Pacific Beach,HYUNDAI,IONIQ 5,3,1
Pacific Beach,TESLA,MODEL 3,3,2
Pacific Beach,TESLA,MODEL S,3,3
Pacific Beach,TESLA,MODEL Y,3,4
Pacific Beach,TOYOTA,PRIUS PRIME,2,5
Packwood,TESLA,MODEL Y,8,1
Packwood,JEEP,WRANGLER,3,2
Packwood,TESLA,MODEL 3,3,3
Packwood,CHEVROLET,BOLT EV,2,4
Packwood,MAZDA,CX-90,2,5
Palisades,NISSAN,LEAF,2,1
Palisades,RIVIAN,R1T,1,2
Palisades,TESLA,MODEL Y,1,3
Palouse,CHEVROLET,BOLT EUV,4,1
Palouse,TESLA,MODEL 3,2,2
Palouse,TESLA,MODEL Y,2,3
Palouse,TOYOTA,PRIUS PRIME,2,4
Palouse,TOYOTA,RAV4 PRIME,2,5
Parker,JEEP,WRANGLER,1,1
Parker,TESLA,MODEL Y,1,2
Parkland,TESLA,MODEL 3,22,1
Parkland,TESLA,MODEL Y,19,2
Parkland,FORD,MUSTANG MACH-E,9,3
Parkland,CHEVROLET,VOLT,8,4
Parkland,FORD,F-150,8,5
Pasc,TESLA,MODEL 3,1,1
Pasc,TOYOTA,BZ4X,1,2
Pasc,TOYOTA,RAV4 PRIME,1,3
Pasco,TESLA,MODEL 3,128,1
Pasco,TESLA,MODEL Y,106,2
Pasco,TESLA,MODEL S,36,3
Pasco,CHEVROLET,VOLT,31,4
Pasco,NISSAN,LEAF,31,5
Pateros,TESLA,MODEL Y,3,1
Pateros,NISSAN,LEAF,2,2
Pateros,CHEVROLET,VOLT,1,3
Pateros,HONDA,CLARITY,1,4
Pateros,JEEP,WRANGLER,1,5
Paterson,FORD,F-150,1,1
Pe Ell,TESLA,MODEL 3,2,1
Pe Ell,HONDA,PROLOGUE,1,2
Peshastin,TESLA,MODEL Y,8,1
Peshastin,FORD,F-150,3,2
Peshastin,NISSAN,LEAF,3,3
Peshastin,TESLA,MODEL 3,2,4
Peshastin,AUDI,Q5 E,1,5
Plymouth,CHEVROLET,VOLT,1,1
Point Roberts,TESLA,MODEL Y,12,1
Point Roberts,TESLA,MODEL 3,11,2
Point Roberts,NISSAN,LEAF,6,3
Point Roberts,TESLA,MODEL S,4,4
Point Roberts,TESLA,MODEL X,4,5
Pomeroy,FORD,C-MAX,2,1
Pomeroy,TOYOTA,RAV4 PRIME,1,2
Port Angeles,NISSAN,LEAF,59,1
Port Angeles,TESLA,MODEL 3,50,2
Port Angeles,TESLA,MODEL Y,45,3
Port Angeles,CHEVROLET,BOLT EV,34,4
Port Angeles,CHEVROLET,VOLT,32,5
Port Gamble,CHEVROLET,VOLT,1,1
Port Gamble,CHRYSLER,PACIFICA,1,2
Port Gamble,TESLA,MODEL 3,1,3
Port Hadlock,CHEVROLET,BOLT EV,7,1
Port Hadlock,TESLA,MODEL Y,6,2
Port Hadlock,FORD,MUSTANG MACH-E,5,3
Port Hadlock,TESLA,MODEL 3,5,4
Port Hadlock,NISSAN,LEAF,4,5
Port Ludlow,TESLA,MODEL Y,23,1
Port Ludlow,TESLA,MODEL 3,21,2
Port Ludlow,NISSAN,LEAF,18,3
Port Ludlow,VOLKSWAGEN,ID.4,11,4
Port Ludlow,CHEVROLET,BOLT EV,9,5
Port Orchard,TESLA,MODEL Y,130,1
Port Orchard,TESLA,MODEL 3,118,2
Port Orchard,NISSAN,LEAF,72,3
Port Orchard,CHEVROLET,BOLT EV,65,4
Port Orchard,FORD,MUSTANG MACH-E,53,5
Port Townsend,NISSAN,LEAF,85,1
Port Townsend,CHEVROLET,BOLT EV,67,2
Port Townsend,TESLA,MODEL 3,48,3
Port Townsend,TESLA,MODEL Y,36,4
Port Townsend,KIA,NIRO,28,5
Poulsbo,TESLA,MODEL Y,89,1
Poulsbo,TESLA,MODEL 3,82,2
Poulsbo,NISSAN,LEAF,78,3
Poulsbo,TESLA,MODEL S,30,4
Poulsbo,VOLKSWAGEN,ID.4,27,5
Pouslbo,TESLA,MODEL 3,3,1
Pouslbo,TESLA,MODEL Y,2,2
Pouslbo,VOLVO,XC90,1,3
Prescott,NISSAN,LEAF,1,1
Prescott,TESLA,MODEL Y,1,2
Preston,TESLA,MODEL Y,9,1
Preston,TESLA,MODEL 3,7,2
Preston,RIVIAN,R1S,3,3
Preston,BMW,X5,2,4
Preston,FORD,F-150,2,5
Pros,TESLA,MODEL Y,1,1
Prosser,TESLA,MODEL 3,17,1
Prosser,TESLA,MODEL Y,13,2
Prosser,FORD,MUSTANG MACH-E,9,3
Prosser,CHEVROLET,BOLT EV,5,4
Prosser,CHEVROLET,VOLT,4,5
Pullman,TESLA,MODEL Y,57,1
Pullman,TESLA,MODEL 3,41,2
Pullman,TOYOTA,RAV4 PRIME,18,3
Pullman,CHEVROLET,VOLT,17,4
Pullman,NISSAN,LEAF,16,5
Puyallup,TESLA,MODEL 3,164,1
Puyallup,TESLA,MODEL Y,162,2
Puyallup,NISSAN,LEAF,74,3
Puyallup,CHEVROLET,BOLT EV,45,4
Puyallup,FORD,MUSTANG MACH-E,45,5
Quilcene,NISSAN,LEAF,6,1
Quilcene,TESLA,MODEL 3,6,2
Quilcene,TESLA,MODEL Y,5,3
Quilcene,TESLA,MODEL S,4,4
Quilcene,HYUNDAI,IONIQ 5,3,5
Quinault,CHEVROLET,BOLT EV,1,1
Quinault,CHEVROLET,VOLT,1,2
Quinault,LINCOLN,CORSAIR,1,3
Quinault,RIVIAN,R1S,1,4
Quinault,TESLA,MODEL 3,1,5
Quincy,TESLA,MODEL Y,32,1
Quincy,TESLA,MODEL 3,28,2
Quincy,TESLA,MODEL S,8,3
Quincy,JEEP,GRAND CHEROKEE,6,4
Quincy,CHEVROLET,BOLT EV,4,5
Rainier,TESLA,MODEL Y,11,1
Rainier,JEEP,WRANGLER,8,2
Rainier,TESLA,MODEL 3,7,3
Rainier,VOLKSWAGEN,ID.4,6,4
Rainier,CHEVROLET,BOLT EV,5,5
Randle,TESLA,MODEL Y,2,1
Randle,CHEVROLET,VOLT,1,2
Randle,CHRYSLER,PACIFICA,1,3
Randle,FORD,FUSION,1,4
Randle,TESLA,MODEL S,1,5
Ravensdale,TESLA,MODEL 3,28,1
Ravensdale,TESLA,MODEL Y,20,2
Ravensdale,CHEVROLET,VOLT,4,3
Ravensdale,FORD,C-MAX,4,4
Ravensdale,FORD,MUSTANG MACH-E,4,5
Raymond,NISSAN,LEAF,5,1
Raymond,TESLA,MODEL 3,5,2
Raymond,KIA,EV6,3,3
Raymond,KIA,NIRO,3,4
Raymond,CHEVROLET,BOLT EV,2,5
Reardan,CHRYSLER,PACIFICA,2,1
Reardan,TESLA,MODEL Y,2,2
Reardan,CHEVROLET,BLAZER,1,3
Reardan,CHEVROLET,BOLT EV,1,4
Reardan,CHEVROLET,VOLT,1,5
Redmond,TESLA,MODEL 3,224,1
Redmond,TESLA,MODEL Y,223,2
Redmond,TESLA,MODEL X,220,3
Redmond,NISSAN,LEAF,202,4
Redmond,TESLA,MODEL S,165,5
Renton,TESLA,MODEL 3,218,1
Renton,TESLA,MODEL Y,212,2
Renton,NISSAN,LEAF,163,3
Renton,TESLA,MODEL X,150,4
Renton,TESLA,MODEL S,134,5
Republic,TESLA,MODEL 3,4,1
Republic,TESLA,MODEL S,2,2
Republic,TOYOTA,PRIUS PRIME,2,3
Republic,CHEVROLET,BLAZER,1,4
Republic,CHEVROLET,BOLT EV,1,5
Rice,TESLA,MODEL Y,3,1
Rice,CHEVROLET,BOLT EV,1,2
Rice,KIA,EV6,1,3
Rice,TOYOTA,PRIUS PRIME,1,4
Rice,TOYOTA,RAV4 PHEV,1,5
Rich,TESLA,MODEL Y,1,1
Richland,TESLA,MODEL 3,128,1
Richland,TESLA,MODEL Y,114,2
Richland,NISSAN,LEAF,45,3
Richland,FORD,MUSTANG MACH-E,39,4
Richland,CHEVROLET,VOLT,38,5
Ridgefield,TESLA,MODEL Y,126,1
Ridgefield,TESLA,MODEL 3,105,2
Ridgefield,NISSAN,LEAF,46,3
Ridgefield,TESLA,MODEL S,46,4
Ridgefield,TOYOTA,RAV4 PRIME,33,5
Ritzville,TESLA,MODEL Y,5,1
Ritzville,JEEP,WRANGLER,3,2
Ritzville,CHEVROLET,BOLT EV,2,3
Ritzville,FORD,F-150,2,4
Ritzville,TESLA,MODEL 3,2,5
Riverside,TESLA,MODEL Y,2,1
Riverside,FORD,FUSION,1,2
Riverside,JEEP,WRANGLER,1,3
Riverside,RIVIAN,R1T,1,4
Rochester,TESLA,MODEL 3,16,1
Rochester,TESLA,MODEL Y,14,2
Rochester,CHEVROLET,VOLT,12,3
Rochester,NISSAN,LEAF,11,4
Rochester,FORD,MUSTANG MACH-E,10,5
Rock Island,TESLA,MODEL Y,4,1
Rock Island,NISSAN,LEAF,3,2
Rock Island,TESLA,MODEL 3,3,3
Rock Island,CHEVROLET,VOLT,2,4
Rock Island,HONDA,PROLOGUE,2,5
Rockford,TESLA,MODEL 3,2,1
Rockford,BMW,I4,1,2
Rockford,SUBARU,SOLTERRA,1,3
Rockford,TESLA,MODEL S,1,4
Rockford,TESLA,MODEL X,1,5
Rockport,CHEVROLET,BOLT EV,1,1
Rockport,JEEP,WRANGLER,1,2
Ronald,TESLA,MODEL Y,11,1
Ronald,TESLA,MODEL 3,10,2
Ronald,TESLA,MODEL S,7,3
Ronald,AUDI,Q8,2,4
Ronald,JEEP,WRANGLER,2,5
Roosevelt,LINCOLN,CORSAIR,1,1
Rosalia,TESLA,MODEL Y,4,1
Rosalia,BMW,I3,2,2
Rosalia,FORD,F-150,2,3
Rosalia,TESLA,MODEL 3,2,4
Rosalia,CHEVROLET,VOLT,1,5
Rosburg,CHEVROLET,SILVERADO,1,1
Rosburg,HONDA,CLARITY,1,2
Rosburg,NISSAN,ARIYA,1,3
Rosburg,TESLA,MODEL 3,1,4
Roslyn,TESLA,MODEL Y,6,1
Roslyn,TESLA,MODEL 3,4,2
Roslyn,TESLA,MODEL S,3,3
Roslyn,TOYOTA,RAV4 PRIME,3,4
Roslyn,CHEVROLET,BOLT EV,2,5
Roy,TESLA,MODEL Y,26,1
Roy,TESLA,MODEL 3,23,2
Roy,NISSAN,LEAF,10,3
Roy,CHEVROLET,VOLT,9,4
Roy,KIA,EV6,8,5
Royal City,FORD,F-150,5,1
Royal City,FORD,MUSTANG MACH-E,4,2
Royal City,TESLA,MODEL Y,4,3
Royal City,TESLA,MODEL 3,3,4
Royal City,TESLA,MODEL X,2,5
Ruston,TESLA,MODEL Y,9,1
Ruston,TESLA,MODEL 3,3,2
Ruston,CHEVROLET,BOLT EUV,2,3
Ruston,CHRYSLER,PACIFICA,2,4
Ruston,KIA,NIRO,2,5
Ryderwood,CHEVROLET,VOLT,1,1
Ryderwood,HONDA,PROLOGUE,1,2
Ryderwood,NISSAN,ARIYA,1,3
Salkum,TESLA,MODEL Y,3,1
Salkum,FORD,F-150,2,2
Sammamish,TESLA,MODEL Y,224,1
Sammamish,TESLA,MODEL X,219,2
Sammamish,TESLA,MODEL 3,214,3
Sammamish,TESLA,MODEL S,170,4
Sammamish,NISSAN,LEAF,149,5
San Juan Is,TESLA,CYBERTRUCK,1,1
San Juan Is,TESLA,MODEL S,1,2
Seabeck,TESLA,MODEL 3,22,1
Seabeck,TESLA,MODEL Y,19,2
Seabeck,FORD,MUSTANG MACH-E,8,3
Seabeck,CHEVROLET,BOLT EV,4,4
Seabeck,CHEVROLET,VOLT,4,5
Seatac,TESLA,MODEL Y,114,1
Seatac,TESLA,MODEL 3,106,2
Seatac,JEEP,WRANGLER,67,3
Seatac,CHRYSLER,PACIFICA,48,4
Seatac,NISSAN,LEAF,31,5
Seattle,NISSAN,LEAF,334,1
Seattle,TESLA,MODEL S,327,2
Seattle,TESLA,MODEL X,306,3
Seattle,VOLVO,XC90,306,4
Seattle,KIA,NIRO,289,5
Seaview,TESLA,MODEL 3,2,1
Seaview,CHEVROLET,BOLT EV,1,2
Seaview,CHRYSLER,PACIFICA,1,3
Seaview,FORD,F-150,1,4
Seaview,FORD,MUSTANG MACH-E,1,5
Sedro Woolley,TESLA,MODEL Y,9,1
Sedro Woolley,TESLA,MODEL 3,8,2
Sedro Woolley,CHEVROLET,BOLT EV,6,3
Sedro Woolley,NISSAN,LEAF,6,4
Sedro Woolley,KIA,EV6,4,5
Sedro-Woolley,TESLA,MODEL 3,32,1
Sedro-Woolley,TESLA,MODEL Y,28,2
Sedro-Woolley,NISSAN,LEAF,19,3
Sedro-Woolley,CHEVROLET,BOLT EV,16,4
Sedro-Woolley,JEEP,WRANGLER,15,5
Sekiu,AUDI,A3,1,1
Sekiu,CHEVROLET,BOLT EV,1,2
Sekiu,JEEP,WRANGLER,1,3
Sekiu,NISSAN,LEAF,1,4
Sekiu,TESLA,MODEL 3,1,5
Selah,TESLA,MODEL 3,26,1
Selah,TESLA,MODEL Y,21,2
Selah,TESLA,MODEL S,12,3
Selah,CHEVROLET,VOLT,7,4
Selah,TOYOTA,RAV4 PRIME,7,5
Sequim,TESLA,MODEL 3,64,1
Sequim,TESLA,MODEL Y,56,2
Sequim,NISSAN,LEAF,51,3
Sequim,CHEVROLET,BOLT EV,37,4
Sequim,CHEVROLET,VOLT,33,5
Seven Bays,FORD,FUSION,1,1
Seven Bays,KIA,EV6,1,2
Seven Bays,RIVIAN,R1S,1,3
Seven Bays,TESLA,MODEL 3,1,4
Shaw Island,TESLA,MODEL Y,2,1
Shaw Island,AUDI,A3,1,2
Shaw Island,AUDI,E-TRON GT,1,3
Shaw Island,BMW,I3,1,4
Shaw Island,CHEVROLET,BOLT EV,1,5
Shelton,TESLA,MODEL 3,61,1
Shelton,TESLA,MODEL Y,60,2
Shelton,NISSAN,LEAF,33,3
Shelton,CHEVROLET,VOLT,30,4
Shelton,CHEVROLET,BOLT EV,23,5
Shoreline,TESLA,MODEL 3,172,1
Shoreline,TESLA,MODEL Y,163,2
Shoreline,NISSAN,LEAF,157,3
Shoreline,TESLA,MODEL S,65,4
Shoreline,CHEVROLET,BOLT EV,54,5
Silver Creek,TESLA,MODEL 3,4,1
Silver Creek,HONDA,PROLOGUE,2,2
Silver Creek,TESLA,MODEL Y,2,3
Silver Creek,FORD,C-MAX,1,4
Silver Creek,FORD,FUSION,1,5
Silver Lake,POLESTAR,PS2,1,1
Silverdale,TESLA,MODEL 3,77,1
Silverdale,TESLA,MODEL Y,57,2
Silverdale,NISSAN,LEAF,25,3
Silverdale,FORD,MUSTANG MACH-E,18,4
Silverdale,CHEVROLET,VOLT,14,5
Silverlake,TESLA,MODEL 3,6,1
Silverlake,TESLA,MODEL Y,6,2
Silverlake,TESLA,MODEL X,4,3
Silverlake,TESLA,MODEL S,3,4
Silverlake,CHEVROLET,BOLT EV,2,5
Skamokawa,TESLA,MODEL 3,3,1
Skamokawa,CHEVROLET,BOLT EV,2,2
Skamokawa,TESLA,MODEL Y,2,3
Skamokawa,RIVIAN,R1T,1,4
Skamokawa,TOYOTA,PRIUS PRIME,1,5
Skykomish,ACURA,ZDX,1,1
Skykomish,AUDI,E-TRON GT,1,2
Skykomish,CHEVROLET,SILVERADO,1,3
Skykomish,KIA,EV9,1,4
Skykomish,NISSAN,LEAF,1,5
Smith Creek,FORD,F-150,1,1
Snohomish,TESLA,MODEL 3,179,1
Snohomish,TESLA,MODEL Y,178,2
Snohomish,NISSAN,LEAF,115,3
Snohomish,TESLA,MODEL S,94,4
Snohomish,TESLA,MODEL X,76,5
Snoqualmie,TESLA,MODEL Y,142,1
Snoqualmie,TESLA,MODEL 3,125,2
Snoqualmie,FORD,MUSTANG MACH-E,35,3
Snoqualmie,RIVIAN,R1S,31,4
Snoqualmie,TESLA,MODEL S,31,5
Snoqualmie Pass,TESLA,MODEL Y,10,1
Snoqualmie Pass,TESLA,MODEL 3,4,2
Snoqualmie Pass,BMW,X5,3,3
Snoqualmie Pass,RIVIAN,R1T,2,4
Snoqualmie Pass,TESLA,MODEL X,2,5
Snowden,TOYOTA,RAV4 PRIME,5,1
Snowden,NISSAN,LEAF,2,2
Snowden,AUDI,Q5 E,1,3
Snowden,CADILLAC,ELR,1,4
Snowden,CHEVROLET,VOLT,1,5
Soap Lake,TESLA,MODEL Y,5,1
Soap Lake,CHEVROLET,VOLT,4,2
Soap Lake,TESLA,MODEL 3,3,3
Soap Lake,TOYOTA,PRIUS PHEV,3,4
Soap Lake,FORD,MUSTANG MACH-E,2,5
South Bend,TESLA,MODEL 3,2,1
South Bend,TESLA,MODEL Y,2,2
South Bend,CADILLAC,LYRIQ,1,3
South Bend,CHEVROLET,BLAZER,1,4
South Bend,CHEVROLET,EQUINOX,1,5
South Cle Elum,CHEVROLET,BOLT EV,1,1
South Cle Elum,CHEVROLET,VOLT,1,2
South Cle Elum,RIVIAN,R1S,1,3
South Cle Elum,TESLA,MODEL 3,1,4
South Cle Elum,TESLA,MODEL Y,1,5
South Hill,TESLA,MODEL Y,105,1
South Hill,TESLA,MODEL 3,102,2
South Hill,NISSAN,LEAF,29,3
South Hill,TESLA,MODEL X,23,4
South Hill,CHEVROLET,BOLT EV,22,5
South Prairie,BMW,X5,1,1
South Prairie,CHRYSLER,PACIFICA,1,2
South Prairie,HYUNDAI,KONA,1,3
South Prairie,TESLA,MODEL S,1,4
South Prairie,TESLA,MODEL Y,1,5
Spanaway,TESLA,MODEL 3,87,1
Spanaway,TESLA,MODEL Y,81,2
Spanaway,NISSAN,LEAF,31,3
Spanaway,FORD,MUSTANG MACH-E,23,4
Spanaway,CHEVROLET,VOLT,20,5
Spangle,TESLA,MODEL 3,3,1
Spangle,TESLA,MODEL Y,3,2
Spangle,CHEVROLET,VOLT,2,3
Spangle,HONDA,CLARITY,2,4
Spangle,MITSUBISHI,OUTLANDER,2,5
Spokane,TESLA,MODEL Y,174,1
Spokane,TESLA,MODEL 3,168,2
Spokane,NISSAN,LEAF,123,3
Spokane,CHEVROLET,VOLT,108,4
Spokane,TESLA,MODEL S,101,5
Spokane Valley,TESLA,MODEL Y,100,1
Spokane Valley,TESLA,MODEL 3,96,2
Spokane Valley,CHRYSLER,PACIFICA,49,3
Spokane Valley,NISSAN,LEAF,43,4
Spokane Valley,JEEP,WRANGLER,30,5
Sprague,CHEVROLET,VOLT,2,1
Sprague,DODGE,HORNET,1,2
Sprague,KIA,NIRO,1,3
Springdale,CHEVROLET,BOLT EV,1,1
Springdale,CHEVROLET,VOLT,1,2
Springdale,TESLA,MODEL X,1,3
St John,TESLA,MODEL 3,1,1
St John,TESLA,MODEL Y,1,2
Stanwood,TESLA,MODEL Y,85,1
Stanwood,TESLA,MODEL 3,78,2
Stanwood,TESLA,MODEL S,35,3
Stanwood,NISSAN,LEAF,29,4
Stanwood,TESLA,MODEL X,21,5
Startup,TESLA,MODEL Y,1,1
Steilacoom,TESLA,MODEL Y,37,1
Steilacoom,TESLA,MODEL 3,22,2
Steilacoom,TOYOTA,RAV4 PRIME,14,3
Steilacoom,NISSAN,LEAF,12,4
Steilacoom,TESLA,MODEL S,12,5
Stevenson,TESLA,MODEL Y,13,1
Stevenson,TESLA,MODEL 3,8,2
Stevenson,CHEVROLET,BOLT EV,5,3
Stevenson,FORD,F-150,3,4
Stevenson,FORD,MUSTANG MACH-E,3,5
Stratford,LUCID,AIR,1,1
Sultan,TESLA,MODEL Y,51,1
Sultan,TESLA,MODEL 3,39,2
Sultan,CHEVROLET,BOLT EV,16,3
Sultan,FORD,MUSTANG MACH-E,16,4
Sultan,NISSAN,ARIYA,11,5
Sumas,CHRYSLER,PACIFICA,2,1
Sumas,HYUNDAI,KONA,2,2
Sumas,JEEP,WRANGLER,2,3
Sumas,TESLA,CYBERTRUCK,2,4
Sumas,TESLA,MODEL Y,2,5
Sumner,TESLA,MODEL Y,29,1
Sumner,TESLA,MODEL 3,26,2
Sumner,RIVIAN,EDV,23,3
Sumner,NISSAN,LEAF,11,4
Sumner,FORD,MUSTANG MACH-E,6,5
Sunnyside,TESLA,MODEL Y,20,1
Sunnyside,TESLA,MODEL 3,19,2
Sunnyside,JEEP,WRANGLER,6,3
Sunnyside,NISSAN,LEAF,6,4
Sunnyside,TESLA,MODEL S,5,5
Suquamish,NISSAN,LEAF,11,1
Suquamish,TESLA,MODEL 3,10,2
Suquamish,CHEVROLET,BOLT EV,7,3
Suquamish,KIA,NIRO,6,4
Suquamish,TESLA,MODEL Y,5,5
Surfside,TESLA,MODEL 3,5,1
Surfside,TOYOTA,RAV4 PRIME,4,2
Surfside,TOYOTA,PRIUS PRIME,3,3
Surfside,KIA,SPORTAGE,2,4
Surfside,TESLA,MODEL S,2,5
Tacoma,TESLA,MODEL 3,208,1
Tacoma,TESLA,MODEL Y,197,2
Tacoma,NISSAN,LEAF,189,3
Tacoma,FORD,MUSTANG MACH-E,115,4
Tacoma,CHEVROLET,VOLT,114,5
Taholah,CHRYSLER,PACIFICA,2,1
Taholah,FORD,FUSION,1,2
Taholah,HYUNDAI,IONIQ,1,3
Taholah,JEEP,WRANGLER,1,4
Taholah,KIA,SOUL,1,5
Tahuya,FORD,F-150,6,1
Tahuya,TESLA,MODEL 3,6,2
Tahuya,TESLA,MODEL Y,6,3
Tahuya,NISSAN,LEAF,3,4
Tahuya,KIA,EV6,2,5
Tekoa,TESLA,MODEL Y,2,1
Tekoa,FORD,FUSION,1,2
Tekoa,SUBARU,SOLTERRA,1,3
Tenino,TESLA,MODEL 3,14,1
Tenino,TESLA,MODEL Y,13,2
Tenino,CHEVROLET,VOLT,12,3
Tenino,NISSAN,LEAF,10,4
Tenino,CHEVROLET,BOLT EV,6,5
Thorp,TESLA,MODEL Y,2,1
Thorp,BMW,X5,1,2
Thorp,CHRYSLER,PACIFICA,1,3
Thorp,FORD,F-150,1,4
Thorp,KIA,SORENTO,1,5
Tieton,TESLA,MODEL 3,6,1
Tieton,TESLA,MODEL Y,3,2
Tieton,CHEVROLET,BOLT EUV,1,3
Tieton,FORD,F-150,1,4
Tieton,FORD,MUSTANG MACH-E,1,5
Tokeland,JEEP,WRANGLER,1,1
Tokeland,KIA,SORENTO,1,2
Tokeland,VOLVO,XC60,1,3
Toledo,TESLA,MODEL 3,7,1
Toledo,NISSAN,LEAF,5,2
Toledo,TESLA,MODEL S,4,3
Toledo,TESLA,MODEL Y,4,4
Toledo,TOYOTA,PRIUS PRIME,4,5
Tonasket,TOYOTA,RAV4 PRIME,4,1
Tonasket,CHEVROLET,VOLT,3,2
Tonasket,TESLA,MODEL 3,3,3
Tonasket,TESLA,MODEL Y,3,4
Tonasket,CHRYSLER,PACIFICA,2,5
Toppenish,TESLA,MODEL 3,9,1
Toppenish,TESLA,MODEL S,4,2
Toppenish,TESLA,MODEL Y,4,3
Toppenish,VOLKSWAGEN,ID.4,2,4
Toppenish,AUDI,Q8,1,5
Touchet,TESLA,MODEL 3,5,1
Touchet,TESLA,MODEL X,2,2
Touchet,FORD,FUSION,1,3
Touchet,HONDA,CLARITY,1,4
Touchet,KIA,SOUL,1,5
Toutle,TESLA,MODEL 3,2,1
Toutle,TESLA,MODEL Y,2,2
Toutle,CHEVROLET,BOLT EUV,1,3
Toutle,FORD,FUSION,1,4
Toutle,KIA,EV9,1,5
Trout Lake,TESLA,MODEL Y,10,1
Trout Lake,CHEVROLET,BOLT EV,5,2
Trout Lake,TOYOTA,RAV4 PRIME,5,3
Trout Lake,FORD,MUSTANG MACH-E,3,4
Trout Lake,TESLA,MODEL 3,2,5
Tukwila,TESLA,MODEL Y,96,1
Tukwila,TESLA,MODEL 3,89,2
Tukwila,JEEP,WRANGLER,57,3
Tukwila,RIVIAN,EDV,37,4
Tukwila,MITSUBISHI,OUTLANDER,32,5
Tulalip,AUDI,Q5 E,1,1
Tulalip,FISKER,OCEAN,1,2
Tulalip,NISSAN,LEAF,1,3
Tulalip,RIVIAN,R1S,1,4
Tulalip,TESLA,MODEL Y,1,5
Tumtum,FORD,MUSTANG MACH-E,1,1
Tumwater,TESLA,MODEL Y,75,1
Tumwater,TESLA,MODEL 3,74,2
Tumwater,NISSAN,LEAF,65,3
Tumwater,CHEVROLET,BOLT EV,52,4
Tumwater,CHEVROLET,VOLT,44,5
Twisp,TESLA,MODEL Y,12,1
Twisp,CHEVROLET,BOLT EV,6,2
Twisp,TESLA,MODEL 3,5,3
