"city","make","Model","ttl","rnk"
Camano Island,TESLA,MODEL Y,77,1
Camano Island,TESLA,MODEL 3,68,2
Camano Island,TESLA,MODEL S,31,3
Camano Island,NISSAN,LEAF,26,4
Camano Island,VOLKSWAGEN,ID.4,26,5
Camas,TESLA,MODEL Y,162,1
Camas,TESLA,MODEL 3,146,2
Camas,NISSAN,LEAF,75,3
Camas,TESLA,MODEL S,74,4
Camas,TESLA,MODEL X,60,5
Carbonado,TESLA,MODEL Y,3,1
Carbonado,CHEVROLET,BOLT EV,2,2
Carbonado,FORD,MUSTANG MACH-E,2,3
Carbonado,TESLA,MODEL 3,2,4
Carbonado,CHEVROLET,BLAZER,1,5
Carlton,CHEVROLET,BLAZER,1,1
Carlton,CHEVROLET,BOLT EV,1,2
Carlton,FORD,MUSTANG MACH-E,1,3
Carlton,MINI,HARDTOP,1,4
Carlton,NISSAN,LEAF,1,5
Carnation,TESLA,MODEL 3,68,1
Carnation,TESLA,MODEL Y,59,2
Carnation,NISSAN,LEAF,26,3
Carnation,CHEVROLET,BOLT EV,21,4
Carnation,FORD,MUSTANG MACH-E,16,5
Carson,CHEVROLET,BOLT EV,4,1
Carson,TESLA,MODEL 3,4,2
Carson,TESLA,MODEL Y,3,3
Carson,TOYOTA,RAV4 PRIME,2,4
Carson,CHEVROLET,BOLT EUV,1,5
Cashmere,TESLA,MODEL Y,24,1
Cashmere,NISSAN,LEAF,8,2
Cashmere,TESLA,MODEL 3,7,3
Cashmere,CHEVROLET,BOLT EV,6,4
Cashmere,TESLA,MODEL X,5,5
Castle Rock,TESLA,MODEL 3,18,1
Castle Rock,TESLA,MODEL Y,13,2
Castle Rock,NISSAN,LEAF,6,3
Castle Rock,CHEVROLET,BOLT EV,5,4
Castle Rock,FORD,MUSTANG MACH-E,5,5
Cathlamet,CHEVROLET,BOLT EV,6,1
Cathlamet,TESLA,MODEL 3,6,2
Cathlamet,TOYOTA,PRIUS PRIME,6,3
Cathlamet,FORD,F-150,4,4
Cathlamet,TESLA,MODEL Y,4,5
Centerville,CHEVROLET,BOLT EV,1,1
Centerville,JEEP,WRANGLER,1,2
Centerville,NISSAN,LEAF,1,3
Centerville,TESLA,MODEL Y,1,4
Centerville,TOYOTA,PRIUS PRIME,1,5
Centralia,CHRYSLER,PACIFICA,37,1
Centralia,NISSAN,LEAF,28,2
Centralia,TESLA,MODEL 3,26,3
Centralia,TESLA,MODEL Y,23,4
Centralia,JEEP,WRANGLER,16,5
Chattaroy,TESLA,MODEL Y,13,1
Chattaroy,TESLA,MODEL 3,7,2
Chattaroy,CHEVROLET,VOLT,3,3
Chattaroy,MITSUBISHI,OUTLANDER,3,4
Chattaroy,VOLKSWAGEN,ID.4,3,5
Chehalis,TESLA,MODEL 3,39,1
Chehalis,TESLA,MODEL Y,33,2
Chehalis,CHEVROLET,VOLT,22,3
Chehalis,FORD,MUSTANG MACH-E,16,4
Chehalis,NISSAN,LEAF,15,5
Chelan,TESLA,MODEL Y,41,1
Chelan,TESLA,MODEL S,19,2
Chelan,TESLA,MODEL 3,16,3
Chelan,TESLA,MODEL X,16,4
Chelan,NISSAN,LEAF,8,5
Chelan Falls,TESLA,MODEL Y,2,1
Chelan Falls,KIA,EV9,1,2
Chelan Falls,VOLVO,S60,1,3
Cheney,TESLA,MODEL Y,43,1
Cheney,TESLA,MODEL 3,23,2
Cheney,CHEVROLET,BOLT EV,9,3
Cheney,CHEVROLET,VOLT,9,4
Cheney,FORD,F-150,7,5
Chewelah,TESLA,MODEL Y,6,1
Chewelah,CHEVROLET,VOLT,3,2
Chewelah,TESLA,MODEL 3,3,3
Chewelah,FORD,MUSTANG MACH-E,2,4
Chewelah,TOYOTA,PRIUS PRIME,2,5
Chimacum,NISSAN,LEAF,12,1
Chimacum,KIA,NIRO,3,2
Chimacum,TESLA,MODEL 3,3,3
Chimacum,CHEVROLET,BOLT EUV,2,4
Chimacum,CHEVROLET,BOLT EV,2,5
Chinook,SUBARU,SOLTERRA,1,1
Chinook,TESLA,MODEL 3,1,2
Chinook,TOYOTA,RAV4 PRIME,1,3
Cinebar,CHEVROLET,BLAZER,1,1
Cinebar,CHEVROLET,BOLT EUV,1,2
Cinebar,CHEVROLET,BOLT EV,1,3
Cinebar,CHEVROLET,VOLT,1,4
Cinebar,FORD,FUSION,1,5
Clallam Bay,KIA,SOUL,1,1
Clallam Bay,LEXUS,NX,1,2
Clarkston,TESLA,MODEL 3,9,1
Clarkston,TESLA,MODEL Y,9,2
Clarkston,TOYOTA,PRIUS PRIME,6,3
Clarkston,TOYOTA,RAV4 PRIME,6,4
Clarkston,CHEVROLET,BOLT EV,5,5
Clayton,MITSUBISHI,OUTLANDER,2,1
Clayton,TESLA,MODEL Y,2,2
Clayton,BMW,I3,1,3
Clayton,CHEVROLET,BOLT EV,1,4
Clayton,FORD,F-150,1,5
Cle Elum,TESLA,MODEL Y,45,1
Cle Elum,TESLA,MODEL 3,30,2
Cle Elum,TESLA,MODEL S,27,3
Cle Elum,TESLA,MODEL X,17,4
Cle Elum,RIVIAN,R1S,14,5
Clearlake,CHEVROLET,BOLT EUV,1,1
Clearlake,FORD,FUSION,1,2
Clearlake,TESLA,MODEL 3,1,3
Clinton,TESLA,MODEL Y,32,1
Clinton,NISSAN,LEAF,26,2
Clinton,TESLA,MODEL 3,24,3
Clinton,CHEVROLET,BOLT EV,17,4
Clinton,TOYOTA,RAV4 PRIME,12,5
Clyde Hill,TESLA,MODEL X,56,1
Clyde Hill,TESLA,MODEL Y,49,2
Clyde Hill,TESLA,MODEL 3,47,3
Clyde Hill,TESLA,MODEL S,40,4
Clyde Hill,PORSCHE,TAYCAN,15,5
Colbert,TESLA,MODEL Y,33,1
Colbert,TESLA,MODEL 3,18,2
Colbert,JEEP,WRANGLER,10,3
Colbert,TESLA,MODEL S,6,4
Colbert,CHEVROLET,VOLT,5,5
Colfax,TESLA,MODEL 3,5,1
Colfax,TOYOTA,PRIUS PRIME,4,2
Colfax,TESLA,MODEL X,3,3
Colfax,TESLA,MODEL Y,3,4
Colfax,TOYOTA,RAV4 PRIME,3,5
College Place,TESLA,MODEL Y,17,1
College Place,TESLA,MODEL 3,13,2
College Place,TOYOTA,RAV4 PRIME,5,3
College Place,CHEVROLET,VOLT,4,4
College Place,HONDA,PROLOGUE,4,5
Colton,BMW,X5,1,1
Colton,CHEVROLET,VOLT,1,2
Colton,FORD,F-150,1,3
Colton,TOYOTA,PRIUS PRIME,1,4
Colton,VOLKSWAGEN,ID.4,1,5
Colville,TESLA,MODEL Y,13,1
Colville,CHEVROLET,BOLT EV,7,2
Colville,TESLA,MODEL 3,6,3
Colville,CHEVROLET,VOLT,5,4
Colville,NISSAN,LEAF,4,5
Conconully,CHEVROLET,VOLT,1,1
Conconully,TESLA,MODEL Y,1,2
Concrete,TESLA,MODEL 3,10,1
Concrete,CHEVROLET,BOLT EV,5,2
Concrete,NISSAN,LEAF,5,3
Concrete,TESLA,CYBERTRUCK,4,4
Concrete,TESLA,MODEL Y,4,5
Connell,TESLA,MODEL 3,5,1
Connell,TESLA,MODEL Y,5,2
Connell,CHEVROLET,BOLT EV,3,3
Connell,AUDI,A3,1,4
Connell,AUDI,Q5 E,1,5
Copalis Beach,TESLA,MODEL 3,4,1
Copalis Beach,TOYOTA,RAV4 PRIME,2,2
Copalis Beach,AUDI,E-TRON,1,3
Copalis Beach,CHEVROLET,BOLT EV,1,4
Copalis Beach,HYUNDAI,IONIQ 5,1,5
Copalis Crossing,NISSAN,LEAF,1,1
Copalis Crossing,TESLA,MODEL Y,1,2
Cosmopolis,TESLA,MODEL Y,6,1
Cosmopolis,TESLA,MODEL 3,4,2
Cosmopolis,JEEP,GRAND CHEROKEE,2,3
Cosmopolis,JEEP,WRANGLER,2,4
Cosmopolis,TOYOTA,BZ4X,2,5
Cougar,PORSCHE,CAYENNE,1,1
Cougar,RIVIAN,R1S,1,2
Cougar,TESLA,MODEL X,1,3
Coulee City,TESLA,MODEL Y,6,1
Coulee City,TESLA,MODEL 3,5,2
Coulee City,TESLA,MODEL S,2,3
Coulee City,CHEVROLET,BLAZER,1,4
Coulee City,CHEVROLET,BOLT EUV,1,5
Coulee Dam,TESLA,MODEL Y,2,1
Coulee Dam,CHEVROLET,BOLT EUV,1,2
Coulee Dam,CHEVROLET,SPARK,1,3
Coulee Dam,FORD,MUSTANG MACH-E,1,4
Coulee Dam,JEEP,WRANGLER,1,5
Coupeville,TESLA,MODEL Y,36,1
Coupeville,TESLA,MODEL 3,31,2
Coupeville,NISSAN,LEAF,22,3
Coupeville,HYUNDAI,IONIQ 5,12,4
Coupeville,CHEVROLET,BOLT EV,10,5
Covington,TESLA,MODEL Y,130,1
Covington,TESLA,MODEL 3,106,2
Covington,TESLA,MODEL S,28,3
Covington,NISSAN,LEAF,25,4
Covington,TESLA,MODEL X,25,5
Cowiche,TESLA,MODEL 3,2,1
Cowiche,CADILLAC,LYRIQ,1,2
Cowiche,CHEVROLET,BOLT EV,1,3
Cowiche,CHEVROLET,VOLT,1,4
Cowiche,VOLKSWAGEN,ID.4,1,5
Creston,TESLA,MODEL Y,1,1
Creston,TOYOTA,RAV4 PRIME,1,2
Curlew,TESLA,MODEL 3,3,1
Curlew,TESLA,MODEL Y,2,2
Curlew,BMW,I3,1,3
Curlew,BMW,X5,1,4
Curlew,TESLA,MODEL S,1,5
