"State","County","Model Year","Make","Model","TTL_VEHICLES"
WA,Pierce,2022,TESLA,MODEL Y,33
WA,Pierce,2022,FORD,MUSTANG MACH-E,48
WA,Pierce,2022,MAZDA,MX-30,2
WA,Pierce,2022,KIA,NIRO,35
WA,Pierce,2022,LEXUS,NX,1
WA,Pierce,2022,MITSUBISHI,OUTLANDER,5
WA,Pierce,2022,CHRYSLER,PACIFICA,23
WA,Pierce,2022,PORSCHE,PANAMERA,1
WA,Pierce,2022,TOYOTA,PRIUS PRIME,9
WA,Pierce,2022,POLESTAR,PS2,11
WA,Pierce,2022,AUDI,Q4,5
WA,Pierce,2022,AUDI,Q5,10
WA,Pierce,2022,RIVIAN,R1S,6
WA,Pierce,2022,RIVIAN,R1T,22
WA,Pierce,2022,TOYOTA,RAV4 PRIME,21
WA,Pierce,2022,AUDI,RS E-TRON GT,4
WA,Pierce,2022,VOLVO,S60,4
WA,Pierce,2022,HYUNDAI,SANTA FE,5
WA,Pierce,2022,KIA,SORENTO,15
WA,Pierce,2022,PORSCHE,TAYCAN,5
WA,Pierce,2022,FORD,TRANSIT,7
WA,Pierce,2022,HYUNDAI,TUCSON,3
WA,Pierce,2022,VOLVO,V60,1
WA,Pierce,2022,JEEP,WRANGLER,21
WA,Pierce,2022,BMW,X5,10
WA,Pierce,2022,VOLVO,XC40,9
WA,Pierce,2022,VOLVO,XC60,15
WA,Pierce,2022,VOLVO,XC90,20
WA,Pierce,2023,BMW,"330E",6
WA,Pierce,2023,BMW,"530E",5
WA,Pierce,2023,LUCID,AIR,9
WA,Pierce,2023,NISSAN,ARIYA,52
WA,Pierce,2023,LINCOLN,AVIATOR,9
WA,Pierce,2023,CHEVROLET,BOLT EUV,22
WA,Pierce,2023,CHEVROLET,BOLT EV,22
WA,Pierce,2023,TOYOTA,BZ4X,9
WA,Pierce,2023,VOLVO,C40,17
WA,Pierce,2023,PORSCHE,CAYENNE,3
WA,Pierce,2023,LINCOLN,CORSAIR,6
WA,Pierce,2023,MINI,COUNTRYMAN,2
WA,Pierce,2023,AUDI,E-TRON,10
WA,Pierce,2023,AUDI,E-TRON GT,5
WA,Pierce,2023,RIVIAN,EDV,17
WA,Pierce,2023,MERCEDES-BENZ,EQB-CLASS,20
WA,Pierce,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,8
WA,Pierce,2023,MERCEDES-BENZ,EQE-CLASS SUV,6
WA,Pierce,2023,MERCEDES-BENZ,EQS-CLASS SEDAN,11
WA,Pierce,2023,MERCEDES-BENZ,EQS-CLASS SUV,12
WA,Pierce,2023,FORD,ESCAPE,10
WA,Pierce,2023,KIA,EV6,50
WA,Pierce,2023,FORD,F-150,33
WA,Pierce,2023,JEEP,GRAND CHEROKEE,23
WA,Pierce,2023,GENESIS,GV60,8
WA,Pierce,2023,GENESIS,GV70,1
WA,Pierce,2023,MINI,HARDTOP,6
WA,Pierce,2023,JAGUAR,I-PACE,1
WA,Pierce,2023,BMW,I4,24
WA,Pierce,2023,BMW,I7,2
WA,Pierce,2023,VOLKSWAGEN,ID.4,77
WA,Pierce,2023,HYUNDAI,IONIQ 5,28
WA,Pierce,2023,HYUNDAI,IONIQ 6,16
WA,Pierce,2023,BMW,IX,11
WA,Pierce,2023,HYUNDAI,KONA,18
WA,Pierce,2023,NISSAN,LEAF,21
WA,Pierce,2023,CADILLAC,LYRIQ,7
WA,Pierce,2023,TESLA,MODEL 3,33
WA,Pierce,2023,TESLA,MODEL S,22
WA,Pierce,2023,TESLA,MODEL X,35
WA,Pierce,2023,TESLA,MODEL Y,41
WA,Pierce,2023,FORD,MUSTANG MACH-E,98
WA,Pierce,2023,KIA,NIRO,36
WA,Pierce,2023,LEXUS,NX,1
WA,Pierce,2023,FISKER,OCEAN,8
WA,Pierce,2023,MITSUBISHI,OUTLANDER,16
WA,Pierce,2023,CHRYSLER,PACIFICA,29
WA,Pierce,2023,PORSCHE,PANAMERA,1
WA,Pierce,2023,TOYOTA,PRIUS PRIME,4
WA,Pierce,2023,POLESTAR,PS2,8
WA,Pierce,2023,AUDI,Q4,18
WA,Pierce,2023,AUDI,Q5 E,12
WA,Pierce,2023,RIVIAN,R1S,22
WA,Pierce,2023,RIVIAN,R1T,23
WA,Pierce,2023,TOYOTA,RAV4 PRIME,24
WA,Pierce,2023,AUDI,RS E-TRON GT,2
WA,Pierce,2023,LEXUS,RZ,10
WA,Pierce,2023,VOLVO,S60,7
WA,Pierce,2023,HYUNDAI,SANTA FE,8
WA,Pierce,2023,SUBARU,SOLTERRA,11
WA,Pierce,2023,KIA,SORENTO,11
WA,Pierce,2023,KIA,SPORTAGE,18
WA,Pierce,2023,PORSCHE,TAYCAN,10
WA,Pierce,2023,FORD,TRANSIT,21
WA,Pierce,2023,HYUNDAI,TUCSON,6
WA,Pierce,2023,JEEP,WRANGLER,30
WA,Pierce,2023,BMW,X5,11
WA,Pierce,2023,VOLVO,XC40,19
WA,Pierce,2023,VOLVO,XC60,21
WA,Pierce,2023,VOLVO,XC90,15
WA,Pierce,2024,BMW,"330E",4
WA,Pierce,2024,FIAT,"500E",7
WA,Pierce,2024,BMW,"750E",1
WA,Pierce,2024,LUCID,AIR,4
WA,Pierce,2024,NISSAN,ARIYA,40
WA,Pierce,2024,CHEVROLET,BLAZER,30
WA,Pierce,2024,TOYOTA,BZ4X,14
WA,Pierce,2024,VOLVO,C40,3
WA,Pierce,2024,PORSCHE,CAYENNE,2
WA,Pierce,2024,DODGE,CHARGER,3
WA,Pierce,2024,LINCOLN,CORSAIR,8
WA,Pierce,2024,MAZDA,CX-90,28
WA,Pierce,2024,TESLA,CYBERTRUCK,21
WA,Pierce,2024,AUDI,E-TRON GT,4
WA,Pierce,2024,RIVIAN,EDV,11
WA,Pierce,2024,MERCEDES-BENZ,EQB-CLASS,5
WA,Pierce,2024,MERCEDES-BENZ,EQE-CLASS SEDAN,3
WA,Pierce,2024,MERCEDES-BENZ,EQE-CLASS SUV,6
WA,Pierce,2024,MERCEDES-BENZ,EQS-CLASS SEDAN,5
WA,Pierce,2024,MERCEDES-BENZ,EQS-CLASS SUV,3
WA,Pierce,2024,CHEVROLET,EQUINOX,35
WA,Pierce,2024,FORD,ESCAPE,9
WA,Pierce,2024,KIA,EV6,41
